,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
494,ASUS,Celeron,win11,4,128,0,yes,"₹29,980",29980
495,ASUS,i5,win11,8,512,0,no,"₹46,990",46990
496,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
497,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
498,Infinix,i5,win11,8,512,0,no,"₹37,990",37990
499,Infinix,i5,win11,8,512,0,no,"₹36,990",36990
500,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
501,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
502,acer,r5,win10,8,256,1000,no,"₹61,490",61490
503,HP,r7,win10,16,1000,0,no,"₹1,09,990",109990
504,HP,r5,win11,8,512,0,no,"₹54,990",54990
505,Lenovo,r5,win10,8,512,0,no,"₹50,990",50990
506,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
507,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
508,MSI,i5,win10,8,0,1000,no,"₹62,190",62190
509,ASUS,Celeron,Chrome,4,0,0,yes,"₹24,390",24390
510,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
511,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
512,Lenovo,i3,win11,8,0,1000,no,"₹36,990",36990
513,HP,r7,win10,16,1000,0,no,"₹1,59,990",159990
514,ASUS,i3,win11,4,256,0,no,"₹34,490",34490
515,ASUS,r9,win11,16,512,0,no,"₹99,990",99990
516,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
517,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
518,ASUS,i5,win11,8,512,0,no,"₹79,990",79990
519,Infinix,Celeron,win11,4,128,0,no,"₹20,990",20990
520,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
521,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
522,HP,i3,win11,8,256,1000,no,"₹41,490",41490
523,DELL,r7,win11,16,1000,0,no,"₹2,06,581",206581
524,ASUS,r5,win11,8,512,0,no,"₹59,990",59990
525,acer,i5,win11,16,512,0,no,"₹62,990",62990
526,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
527,Lenovo,r5,win11,8,512,0,no,"₹44,990",44990
528,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
